Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
374,shrimp,whole wheat pasta,spaghetti,meatballs,chicken,frozen smoothie,tomato juice,,,,,,,,,,,,,
375,red wine,ground beef,spaghetti,mineral water,eggs,,,,,,,,,,,,,,,
376,yams,melons,,,,,,,,,,,,,,,,,,
377,spaghetti,cooking oil,,,,,,,,,,,,,,,,,,
378,french fries,,,,,,,,,,,,,,,,,,,
379,mineral water,milk,spinach,cooking oil,chocolate,frozen smoothie,hot dogs,,,,,,,,,,,,,
380,tomato sauce,milk,,,,,,,,,,,,,,,,,,
381,shrimp,cider,eggs,french fries,,,,,,,,,,,,,,,,
382,champagne,,,,,,,,,,,,,,,,,,,
383,salad,,,,,,,,,,,,,,,,,,,
384,french fries,,,,,,,,,,,,,,,,,,,
385,frozen vegetables,mineral water,energy bar,honey,rice,green tea,,,,,,,,,,,,,,
386,french fries,salad,,,,,,,,,,,,,,,,,,
387,honey,chocolate,french fries,brownies,,,,,,,,,,,,,,,,
388,green tea,strawberries,gluten free bar,,,,,,,,,,,,,,,,,
389,frozen vegetables,ground beef,mineral water,salmon,honey,extra dark chocolate,green tea,mushroom cream sauce,gluten free bar,,,,,,,,,,,
390,grated cheese,tomatoes,mineral water,meatballs,,,,,,,,,,,,,,,,
391,shrimp,chocolate,water spray,,,,,,,,,,,,,,,,,
392,turkey,,,,,,,,,,,,,,,,,,,
393,turkey,eggs,,,,,,,,,,,,,,,,,,
394,turkey,frozen vegetables,tomatoes,soup,butter,french wine,pancakes,eggs,tomato juice,fresh bread,green tea,,,,,,,,,
395,spaghetti,,,,,,,,,,,,,,,,,,,
396,milk,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,,,
397,burgers,mineral water,milk,whole wheat rice,cereals,chocolate,french fries,,,,,,,,,,,,,
398,mineral water,,,,,,,,,,,,,,,,,,,
399,tomatoes,mineral water,soup,cake,chocolate,,,,,,,,,,,,,,,
400,mineral water,,,,,,,,,,,,,,,,,,,
401,ground beef,spaghetti,,,,,,,,,,,,,,,,,,
402,pepper,frozen smoothie,,,,,,,,,,,,,,,,,,
403,yogurt cake,,,,,,,,,,,,,,,,,,,
404,red wine,pancakes,,,,,,,,,,,,,,,,,,
405,candy bars,,,,,,,,,,,,,,,,,,,
406,eggs,french fries,low fat yogurt,,,,,,,,,,,,,,,,,
407,cookies,,,,,,,,,,,,,,,,,,,
408,cookies,,,,,,,,,,,,,,,,,,,
409,spaghetti,soup,vegetables mix,spinach,french fries,escalope,cauliflower,toothpaste,,,,,,,,,,,,
410,cookies,,,,,,,,,,,,,,,,,,,
411,soup,olive oil,eggs,soda,corn,,,,,,,,,,,,,,,
412,chocolate,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,,,
413,spaghetti,mineral water,milk,pancakes,chocolate,french fries,,,,,,,,,,,,,,
414,mineral water,,,,,,,,,,,,,,,,,,,
415,herb & pepper,frozen vegetables,tomato sauce,mineral water,soup,milk,olive oil,almonds,,,,,,,,,,,,
416,burgers,eggs,,,,,,,,,,,,,,,,,,
417,french fries,,,,,,,,,,,,,,,,,,,
418,frozen smoothie,cottage cheese,,,,,,,,,,,,,,,,,,
419,tomatoes,mineral water,chocolate,light mayo,,,,,,,,,,,,,,,,
420,salmon,escalope,shallot,strawberries,fresh bread,low fat yogurt,,,,,,,,,,,,,,
421,energy bar,,,,,,,,,,,,,,,,,,,
422,red wine,ground beef,spaghetti,pancakes,blueberries,oil,cooking oil,tomato juice,,,,,,,,,,,,
423,ground beef,spaghetti,mineral water,milk,frozen smoothie,champagne,,,,,,,,,,,,,,
424,cookies,,,,,,,,,,,,,,,,,,,
425,salmon,escalope,,,,,,,,,,,,,,,,,,
426,cookies,,,,,,,,,,,,,,,,,,,
427,low fat yogurt,,,,,,,,,,,,,,,,,,,
428,eggs,,,,,,,,,,,,,,,,,,,
429,red wine,butter,hot dogs,,,,,,,,,,,,,,,,,
430,tomatoes,mineral water,soup,mashed potato,,,,,,,,,,,,,,,,
431,cookies,,,,,,,,,,,,,,,,,,,
432,parmesan cheese,ground beef,salmon,pancakes,champagne,,,,,,,,,,,,,,,
433,ground beef,yams,chocolate,olive oil,eggs,,,,,,,,,,,,,,,
434,shrimp,salmon,eggs,cookies,hot dogs,,,,,,,,,,,,,,,
435,magazines,mint,,,,,,,,,,,,,,,,,,
436,turkey,mineral water,eggs,cooking oil,extra dark chocolate,escalope,,,,,,,,,,,,,,
437,mineral water,mushroom cream sauce,,,,,,,,,,,,,,,,,,
438,grated cheese,frozen vegetables,mineral water,soup,milk,french wine,,,,,,,,,,,,,,
439,chocolate,cake,,,,,,,,,,,,,,,,,,
440,burgers,salt,white wine,,,,,,,,,,,,,,,,,
441,energy drink,,,,,,,,,,,,,,,,,,,
442,olive oil,cake,energy drink,,,,,,,,,,,,,,,,,
443,ground beef,whole wheat rice,,,,,,,,,,,,,,,,,,
444,eggs,french fries,,,,,,,,,,,,,,,,,,
445,spaghetti,escalope,mushroom cream sauce,,,,,,,,,,,,,,,,,
446,mineral water,fromage blanc,whole wheat rice,cake,french fries,,,,,,,,,,,,,,,
447,turkey,burgers,frozen vegetables,ground beef,mineral water,milk,eggs,cake,light mayo,,,,,,,,,,,
448,green tea,cottage cheese,,,,,,,,,,,,,,,,,,
449,fresh tuna,eggs,champagne,,,,,,,,,,,,,,,,,
450,cookies,,,,,,,,,,,,,,,,,,,
451,cookies,,,,,,,,,,,,,,,,,,,
452,cookies,,,,,,,,,,,,,,,,,,,
453,tomatoes,mineral water,eggplant,,,,,,,,,,,,,,,,,
454,grated cheese,tomatoes,spaghetti,mineral water,soup,honey,chicken,chocolate,french fries,,,,,,,,,,,
455,protein bar,,,,,,,,,,,,,,,,,,,
456,herb & pepper,red wine,shrimp,mineral water,barbecue sauce,protein bar,,,,,,,,,,,,,,
457,burgers,ham,spaghetti,mineral water,milk,eggs,french fries,escalope,pancakes,low fat yogurt,,,,,,,,,,
458,french fries,,,,,,,,,,,,,,,,,,,
459,frozen vegetables,soup,milk,eggs,whole wheat rice,chocolate,escalope,melons,,,,,,,,,,,,
460,spaghetti,,,,,,,,,,,,,,,,,,,
461,herb & pepper,shrimp,soup,eggs,oil,cooking oil,energy drink,protein bar,low fat yogurt,,,,,,,,,,,
462,ham,grated cheese,herb & pepper,shrimp,ground beef,spaghetti,mineral water,carrots,,,,,,,,,,,,
463,ham,red wine,ground beef,yams,mineral water,chocolate,low fat yogurt,,,,,,,,,,,,,
464,chocolate,french fries,mushroom cream sauce,cottage cheese,low fat yogurt,,,,,,,,,,,,,,,
465,eggs,,,,,,,,,,,,,,,,,,,
466,cake,cookies,,,,,,,,,,,,,,,,,,
467,grated cheese,mineral water,cake,chocolate bread,,,,,,,,,,,,,,,,
468,tomatoes,almonds,cake,champagne,low fat yogurt,,,,,,,,,,,,,,,
469,herb & pepper,shrimp,frozen vegetables,milk,butter,salmon,eggs,chocolate,,,,,,,,,,,,
470,herb & pepper,shrimp,whole wheat pasta,whole wheat rice,chicken,green tea,cauliflower,,,,,,,,,,,,,
471,eggs,corn,,,,,,,,,,,,,,,,,,
472,shrimp,frozen vegetables,tomato sauce,mineral water,chocolate,soup,olive oil,salmon,green beans,champagne,,,,,,,,,,
473,ham,herb & pepper,tomato sauce,mineral water,green grapes,eggs,gums,light cream,oil,green tea,mint,,,,,,,,,
474,energy bar,cake,chocolate,,,,,,,,,,,,,,,,,
475,herb & pepper,shrimp,spaghetti,eggs,,,,,,,,,,,,,,,,
476,fresh tuna,mineral water,honey,cooking oil,,,,,,,,,,,,,,,,
477,red wine,mineral water,oil,ketchup,chili,pet food,eggplant,green tea,escalope,tomato juice,low fat yogurt,,,,,,,,,
478,herb & pepper,shrimp,mineral water,pancakes,eggs,cake,blueberries,tea,frozen smoothie,,,,,,,,,,,
479,ground beef,mineral water,protein bar,,,,,,,,,,,,,,,,,
480,shrimp,frozen vegetables,parmesan cheese,spaghetti,salmon,carrots,frozen smoothie,pasta,mashed potato,shallot,light mayo,magazines,,,,,,,,
481,milk,chocolate,,,,,,,,,,,,,,,,,,
482,frozen vegetables,ground beef,spaghetti,olive oil,whole wheat rice,eggplant,cottage cheese,,,,,,,,,,,,,
483,turkey,ground beef,low fat yogurt,,,,,,,,,,,,,,,,,
484,herb & pepper,spaghetti,mineral water,whole wheat rice,cake,hot dogs,green tea,,,,,,,,,,,,,
485,green tea,,,,,,,,,,,,,,,,,,,
486,cookies,,,,,,,,,,,,,,,,,,,
487,eggs,cookies,,,,,,,,,,,,,,,,,,
488,spaghetti,eggs,ham,chocolate,french fries,champagne,brownies,pancakes,light mayo,,,,,,,,,,,
489,red wine,spaghetti,milk,eggs,chocolate,,,,,,,,,,,,,,,
490,turkey,burgers,pancakes,french fries,strawberries,green tea,,,,,,,,,,,,,,
491,escalope,,,,,,,,,,,,,,,,,,,
492,frozen vegetables,pancakes,eggs,cake,,,,,,,,,,,,,,,,
493,french fries,,,,,,,,,,,,,,,,,,,
494,turkey,ground beef,pepper,spaghetti,honey,cookies,,,,,,,,,,,,,,
495,chocolate,red wine,tomato sauce,olive oil,chili,french fries,cookies,salt,fresh bread,magazines,,,,,,,,,,
496,green tea,french fries,,,,,,,,,,,,,,,,,,
497,mineral water,,,,,,,,,,,,,,,,,,,
498,cooking oil,,,,,,,,,,,,,,,,,,,
499,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,
500,ham,spaghetti,,,,,,,,,,,,,,,,,,
